author,dominant_candidate,dominant_camp,n_candidates_engaged,candidates_list,eng_david_belliard,eng_emmanuel_gregoire,eng_ian_brossat,eng_pierre_yves_bournazel,eng_rachida_dati,eng_sarah_knafo,eng_sophia_chikirou,eng_thierry_mariani,community,comm_dominant_candidate
mbaki_02198109,pierre_yves_bournazel,Centre-droit,3,"ian_brossat,pierre_yves_bournazel,sarah_knafo",0,0,1,1,0,1,0,0,pierre_yves_bournazel,pierre_yves_bournazel
mboutib,thierry_mariani,Extreme droite,2,"sarah_knafo,thierry_mariani",0,0,0,0,0,1,0,1,thierry_mariani,thierry_mariani
mbrask_,david_belliard,Gauche,2,"david_belliard,thierry_mariani",1,0,0,0,0,0,0,1,david_belliard,david_belliard
mcfloquet,emmanuel_gregoire,Gauche,2,"emmanuel_gregoire,sophia_chikirou",0,1,0,0,0,0,1,0,emmanuel_gregoire,emmanuel_gregoire
mch1309,pierre_yves_bournazel,Centre-droit,3,"pierre_yves_bournazel,rachida_dati,sarah_knafo",0,0,0,1,1,1,0,0,pierre_yves_bournazel,pierre_yves_bournazel
mcparis83,rachida_dati,Droite,3,"pierre_yves_bournazel,rachida_dati,sarah_knafo",0,0,0,1,1,1,0,0,rachida_dati,rachida_dati
mcveyrenc,rachida_dati,Droite,2,"pierre_yves_bournazel,rachida_dati",0,0,0,1,1,0,0,0,rachida_dati,rachida_dati
md_libertad,sarah_knafo,Droite,2,"pierre_yves_bournazel,sarah_knafo",0,0,0,1,0,1,0,0,sarah_knafo,sarah_knafo
mdechateaurouge,pierre_yves_bournazel,Centre-droit,3,"david_belliard,pierre_yves_bournazel,rachida_dati",1,0,0,1,1,0,0,0,pierre_yves_bournazel,pierre_yves_bournazel
mderieker,rachida_dati,Droite,2,"rachida_dati,sarah_knafo",0,0,0,0,1,1,0,0,rachida_dati,rachida_dati
mdfranza,pierre_yves_bournazel,Centre-droit,3,"emmanuel_gregoire,pierre_yves_bournazel,rachida_dati",0,1,0,1,1,0,0,0,pierre_yves_bournazel,pierre_yves_bournazel
mdx63,sarah_knafo,Droite,2,"sarah_knafo,thierry_mariani",0,0,0,0,0,1,0,1,sarah_knafo,sarah_knafo
