source,target,pair,themes,n_themes,text_snippet
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,alliance,1,"la gauche unie avec @egregoire très nettement en tête au 1er tour, 7 points devant dati, selon un no"
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,alliance,1,💣 knafo annonce vouloir travailler main dans la main avec dati. ce qui se prépare : l’union des droi
ian_brossat,rachida_dati,Brossat->Dati,autre,0,"marrant, votre cabinet nous a appelé quelques jours plus tôt pour nous demander pourquoi, lors du to"
ian_brossat,rachida_dati,Brossat->Dati,logement,1,"ce mardi, nous voterons la création de 17 logements sociaux place des vosges dans un bâtiment vide q"
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,autre,0,de grandes voies sur berges piétonnes et végétalisées. une proposition lancée par @ianbrossat et dés
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,autre,0,des voies sur berges étendues pour permettre aux piétons de gagner de nouveaux espaces de promenade 
pierre_yves_bournazel,rachida_dati,Bournazel->Dati,autre,0,le candidat @horizonsleparti @renaissance à la mairie de paris @pybournazel compare sa bataille avec
pierre_yves_bournazel,emmanuel_gregoire,Bournazel->Gregoire,"programme,alliance,logement",3,".@egregoire parle du prix du kebab. j’aimerais plutôt vous parler du prix du logement à paris, qui a"
pierre_yves_bournazel,rachida_dati,Bournazel->Dati,autre,0,"""contrairement à la majorité sortante, je n'attaque pas sur les affaires. je ne trouve pas ça digne."
pierre_yves_bournazel,emmanuel_gregoire,Bournazel->Gregoire,economie,1,.@egregoire : encore une fake news ! vous prétendez que la mairie de paris serait en excédent budgét
pierre_yves_bournazel,rachida_dati,Bournazel->Dati,programme,1,"dans cette campagne, je me présente pour offrir aux parisiens une troisième voie. la voie du changem"
pierre_yves_bournazel,emmanuel_gregoire,Bournazel->Gregoire,programme,1,"dans cette campagne, je me présente pour offrir aux parisiens une troisième voie. la voie du changem"
pierre_yves_bournazel,rachida_dati,Bournazel->Dati,autre,0,sarah knafo propose une alliance à rachida dati. je demande à @datirachida de récuser immédiatement 
pierre_yves_bournazel,emmanuel_gregoire,Bournazel->Gregoire,autre,0,"c’est donc officiel : @egregoire s’allie à la candidate lfi de 2020. pour nous, les choses sont clai"
pierre_yves_bournazel,emmanuel_gregoire,Bournazel->Gregoire,programme,1,"plusieurs remarques sur la mauvaise gestion de la neige et du verglas depuis hier : d'abord, il y a "
pierre_yves_bournazel,emmanuel_gregoire,Bournazel->Gregoire,logement,1,"dans une interview à la @tribunedimanche, @egregoire ose parler du pouvoir d’achat des parisiens. ap"
pierre_yves_bournazel,emmanuel_gregoire,Bournazel->Gregoire,securite,1,.@egregoire a tort de refuser l'armement des policiers municipaux à paris. tout agent en uniforme da
