week,topic_name,n_tweets,avg_eng
2025-11-10,Geopolitique & international,23,2083.391304347826
2025-11-17,Soutien / Jour / France,15,1461.5333333333333
2025-11-17,Social & solidarite,17,4397.764705882353
2025-11-17,Securite & delinquance,15,1530.3333333333333
2025-11-17,Logement & urbanisme,14,3548.8571428571427
2025-11-17,Vie locale & citoyennete,12,1100.75
2025-11-17,Education & culture,37,1347.3243243243244
2025-11-17,Deux / Emmanuel / Peuple,9,1348.3333333333333
2025-11-17,Budget & finances,26,3573.8846153846152
2025-11-17,Arrondissement / Liberté / Gauche,8,900.25
2025-11-17,Geopolitique & international,17,4940.117647058823
2025-11-24,Vie locale & citoyennete,7,627.5714285714286
2025-11-24,Soutien / Jour / France,12,1609.6666666666667
2025-11-24,Social & solidarite,11,1722.8181818181818
2025-11-24,Securite & delinquance,13,708.2307692307693
2025-11-24,Logement & urbanisme,22,1263.8636363636365
2025-11-24,Geopolitique & international,22,4318.772727272727
2025-11-24,Deux / Emmanuel / Peuple,9,1008.1111111111112
2025-11-24,Budget & finances,31,2799.6129032258063
2025-11-24,Arrondissement / Liberté / Gauche,15,1534.6
2025-11-24,Education & culture,24,1659.5
2025-12-01,Securite & delinquance,18,3151.4444444444443
2025-12-01,Soutien / Jour / France,8,805.0
2025-12-01,Social & solidarite,19,3822.8947368421054
2025-12-01,Logement & urbanisme,20,573.6
2025-12-01,Vie locale & citoyennete,15,622.7333333333333
2025-12-01,Education & culture,30,2686.366666666667
2025-12-01,Arrondissement / Liberté / Gauche,15,1188.8
2025-12-01,Geopolitique & international,18,2590.1111111111118
2025-12-01,Deux / Emmanuel / Peuple,9,8168.555555555556
2025-12-01,Budget & finances,16,3093.75
2025-12-08,Vie locale & citoyennete,10,551.1
2025-12-08,Soutien / Jour / France,9,4953.0
2025-12-08,Social & solidarite,14,562.3571428571429
2025-12-08,Logement & urbanisme,18,2679.5
2025-12-08,Securite & delinquance,21,3871.3333333333335
2025-12-08,Education & culture,39,3517.4102564102564
2025-12-08,Deux / Emmanuel / Peuple,6,236.5
2025-12-08,Budget & finances,9,6237.666666666667
2025-12-08,Arrondissement / Liberté / Gauche,16,707.1875
2025-12-08,Geopolitique & international,23,2618.1304347826085
2025-12-15,Vie locale & citoyennete,16,2024.9375
2025-12-15,Soutien / Jour / France,12,705.5
2025-12-15,Social & solidarite,9,4648.555555555556
2025-12-15,Securite & delinquance,19,1532.0
2025-12-15,Logement & urbanisme,21,2976.6666666666665
2025-12-15,Geopolitique & international,21,3542.7619047619046
2025-12-15,Deux / Emmanuel / Peuple,16,1688.5625
2025-12-15,Budget & finances,6,3525.1666666666665
2025-12-15,Arrondissement / Liberté / Gauche,26,1045.923076923077
2025-12-15,Education & culture,42,2193.2380952380954
2025-12-22,Vie locale & citoyennete,23,939.391304347826
2025-12-22,Soutien / Jour / France,11,6275.0
2025-12-22,Social & solidarite,14,4943.0
2025-12-22,Securite & delinquance,11,1225.2727272727273
2025-12-22,Logement & urbanisme,6,1763.0
2025-12-22,Geopolitique & international,13,3430.923076923077
2025-12-22,Deux / Emmanuel / Peuple,6,373.1666666666667
2025-12-22,Budget & finances,2,6795.5
2025-12-22,Arrondissement / Liberté / Gauche,8,633.875
2025-12-22,Education & culture,17,4252.64705882353
2025-12-29,Securite & delinquance,3,90.33333333333331
2025-12-29,Soutien / Jour / France,12,3513.583333333333
2025-12-29,Vie locale & citoyennete,14,553.9285714285714
2025-12-29,Logement & urbanisme,8,595.875
2025-12-29,Social & solidarite,13,2975.538461538461
2025-12-29,Education & culture,9,1285.4444444444443
2025-12-29,Deux / Emmanuel / Peuple,8,5163.375
2025-12-29,Budget & finances,4,4054.75
2025-12-29,Arrondissement / Liberté / Gauche,7,2192.0
2025-12-29,Geopolitique & international,22,10015.272727272728
2026-01-05,Vie locale & citoyennete,17,2672.764705882353
2026-01-05,Soutien / Jour / France,13,2298.153846153846
2026-01-05,Social & solidarite,13,3521.4615384615386
2026-01-05,Securite & delinquance,13,1519.4615384615386
2026-01-05,Logement & urbanisme,25,1629.24
2026-01-05,Geopolitique & international,13,2493.076923076923
2026-01-05,Education & culture,48,2075.2916666666665
2026-01-05,Deux / Emmanuel / Peuple,18,6616.611111111111
2026-01-05,Budget & finances,6,1634.6666666666667
2026-01-05,Arrondissement / Liberté / Gauche,31,1918.967741935484
